Task size,Pages,Task size local ,Task size rem,Distance,Comtime,Decision
54,5,790.35,1786.07,15,6.5,0
54,5,790.35,1786.07,16,6.5,0
54,5,790.35,1786.07,17,6.7,0
54,5,790.35,1786.07,18,7.1,0
54,5,790.35,1786.07,19,7.7,0
54,5,790.35,1786.07,20,8,0
54,5,790.35,1786.07,21,8,0
54,5,790.35,1786.07,22,8.1,0
54,5,790.35,1786.07,23,8.4,0
54,5,790.35,1786.07,24,8.6,0
54,5,790.35,1786.07,25,8.8,0
54,5,790.35,1786.07,26,9.1,0
54,5,790.35,1786.07,27,9.3,0
54,5,790.35,1786.07,28,10.1,0
54,5,790.35,1786.07,29,10.4,0
54,5,790.35,1786.07,30,11,0
54,5,790.35,1786.07,31,11,0
54,5,790.35,1786.07,32,11.2,0
54,5,790.35,1786.07,33,11.4,0
54,5,790.35,1786.07,34,11.4,0
54,5,790.35,1786.07,35,11.5,0
54,5,790.35,1786.07,36,11.5,0
54,5,790.35,1786.07,37,11.6,0
54,5,790.35,1786.07,38,12,0
54,5,790.35,1786.07,39,12.2,0
54,5,790.35,1786.07,40,12.5,0
60,6,1246.34,2111.99,1,5.5,0
60,6,1246.34,2111.99,2,5.5,0
60,6,1246.34,2111.99,3,5.8,0
60,6,1246.34,2111.99,4,5.9,0
60,6,1246.34,2111.99,5,5.9,0
60,6,1246.34,2111.99,6,6,0
60,6,1246.34,2111.99,7,6,0
60,6,1246.34,2111.99,8,6,0
60,6,1246.34,2111.99,9,6.3,0
60,6,1246.34,2111.99,10,6.3,0
60,6,1246.34,2111.99,11,6.5,0
60,6,1246.34,2111.99,12,6.4,0
60,6,1246.34,2111.99,13,6.4,0
60,6,1246.34,2111.99,14,6.5,0
60,6,1246.34,2111.99,15,6.5,0
60,6,1246.34,2111.99,16,6.5,0
60,6,1246.34,2111.99,17,6.7,0
60,6,1246.34,2111.99,18,7.1,0
60,6,1246.34,2111.99,19,7.7,0
60,6,1246.34,2111.99,20,8,0
60,6,1246.34,2111.99,21,8,0
60,6,1246.34,2111.99,22,8.1,0
60,6,1246.34,2111.99,23,8.4,0
60,6,1246.34,2111.99,24,8.6,0
60,6,1246.34,2111.99,25,8.8,0
60,6,1246.34,2111.99,26,9.1,0
60,6,1246.34,2111.99,27,9.3,0
60,6,1246.34,2111.99,28,10.1,0
60,6,1246.34,2111.99,29,10.4,0
60,6,1246.34,2111.99,30,11,0
60,6,1246.34,2111.99,31,11,0
60,6,1246.34,2111.99,32,11.2,0
60,6,1246.34,2111.99,33,11.4,0
60,6,1246.34,2111.99,34,11.4,0
60,6,1246.34,2111.99,35,11.5,0
60,6,1246.34,2111.99,36,11.5,0
60,6,1246.34,2111.99,37,11.6,0
60,6,1246.34,2111.99,38,12,0
60,6,1246.34,2111.99,39,12.2,0
60,6,1246.34,2111.99,40,12.5,0
63,6,1108.64,2109.91,1,5.5,0
63,6,1108.64,2109.91,2,5.5,0
63,6,1108.64,2109.91,3,5.8,0
